"","Week.starting","Language","Country.code","Tweets","group"
"358",2019-07-21,"en","ZWE",4,"1"
"360",2019-07-21,"fr","FRA",13,"1"
"361",2019-07-21,"fr","SEN",1,"1"
"362",2019-07-21,"fr","TUN",1,"1"
"363",2019-07-21,"fr","USA",1,"1"
"365",2019-07-28,"ar","ARE",5,"1"
"366",2019-07-28,"ar","BHR",3,"1"
"367",2019-07-28,"ar","BRA",1,"1"
"368",2019-07-28,"ar","CAN",1,"1"
"369",2019-07-28,"ar","CHE",3,"1"
"370",2019-07-28,"ar","COL",1,"1"
"371",2019-07-28,"ar","DEU",2,"1"
"372",2019-07-28,"ar","DZA",1,"1"
"373",2019-07-28,"ar","EGY",29,"1"
"374",2019-07-28,"ar","FIN",1,"1"
"375",2019-07-28,"ar","FRA",3,"1"
"376",2019-07-28,"ar","GBR",69,"1"
"377",2019-07-28,"ar","HUN",1,"1"
"378",2019-07-28,"ar","IND",1,"1"
"379",2019-07-28,"ar","IRN",5,"1"
"380",2019-07-28,"ar","IRQ",6,"1"
"381",2019-07-28,"ar","JOR",2,"1"
"382",2019-07-28,"ar","JPN",1,"1"
"383",2019-07-28,"ar","KWT",5,"1"
"384",2019-07-28,"ar","LBN",6,"1"
"385",2019-07-28,"ar","LBY",7,"1"
"386",2019-07-28,"ar","MAR",2,"1"
"387",2019-07-28,"ar","OMN",4,"1"
"388",2019-07-28,"ar","PER",1,"1"
"389",2019-07-28,"ar","PHL",1,"1"
"390",2019-07-28,"ar","PSE",2,"1"
"391",2019-07-28,"ar","QAT",15,"1"
"392",2019-07-28,"ar","SAU",16,"1"
"393",2019-07-28,"ar","SDN",31,"1"
"394",2019-07-28,"ar","SHN",1,"1"
"395",2019-07-28,"ar","SWE",3,"1"
"396",2019-07-28,"ar","SYR",44,"1"
"397",2019-07-28,"ar","TUR",7,"1"
"398",2019-07-28,"ar","USA",11,"1"
"399",2019-07-28,"ar","YEM",20,"1"
"401",2019-07-28,"en","AFG",4,"1"
"402",2019-07-28,"en","AUS",2,"1"
"403",2019-07-28,"en","AZE",1,"1"
"404",2019-07-28,"en","BDI",1,"1"
"405",2019-07-28,"en","BEN",1,"1"
"406",2019-07-28,"en","BGD",1,"1"
"407",2019-07-28,"en","BGR",1,"1"
"408",2019-07-28,"en","BLR",1,"1"
"409",2019-07-28,"en","BRA",1,"1"
"410",2019-07-28,"en","CAN",17,"1"
"411",2019-07-28,"en","CHE",4,"1"
"412",2019-07-28,"en","CHN",2,"1"
"413",2019-07-28,"en","CMR",1,"1"
"414",2019-07-28,"en","COL",1,"1"
"415",2019-07-28,"en","CZE",1,"1"
"416",2019-07-28,"en","DEU",3,"1"
"417",2019-07-28,"en","DNK",1,"1"
"418",2019-07-28,"en","ECU",1,"1"
"419",2019-07-28,"en","FIN",1,"1"
"420",2019-07-28,"en","FRA",2,"1"
"421",2019-07-28,"en","GBR",9,"1"
"422",2019-07-28,"en","GGY",1,"1"
"423",2019-07-28,"en","GHA",6,"1"
"424",2019-07-28,"en","GRC",1,"1"
"425",2019-07-28,"en","HUN",1,"1"
"426",2019-07-28,"en","IDN",5,"1"
"427",2019-07-28,"en","IND",3,"1"
"428",2019-07-28,"en","IRN",3,"1"
"429",2019-07-28,"en","IRQ",2,"1"
"430",2019-07-28,"en","ISR",1,"1"
"431",2019-07-28,"en","ITA",6,"1"
"432",2019-07-28,"en","KAZ",1,"1"
"433",2019-07-28,"en","KEN",18,"1"
"434",2019-07-28,"en","KOR",1,"1"
"435",2019-07-28,"en","LBY",1,"1"
"436",2019-07-28,"en","MAR",13,"1"
"437",2019-07-28,"en","NGA",8,"1"
"438",2019-07-28,"en","NOR",4,"1"
"439",2019-07-28,"en","NPL",2,"1"
"440",2019-07-28,"en","OMN",2,"1"
"441",2019-07-28,"en","PHL",3,"1"
"442",2019-07-28,"en","PRI",1,"1"
"443",2019-07-28,"en","PRT",1,"1"
"444",2019-07-28,"en","PSE",12,"1"
"445",2019-07-28,"en","QAT",3,"1"
"446",2019-07-28,"en","RUS",1,"1"
"447",2019-07-28,"en","SDN",7,"1"
"448",2019-07-28,"en","SOM",3,"1"
"449",2019-07-28,"en","SVK",2,"1"
"450",2019-07-28,"en","SWE",2,"1"
"451",2019-07-28,"en","SYR",1,"1"
"452",2019-07-28,"en","THA",1,"1"
"453",2019-07-28,"en","TUR",3,"1"
"454",2019-07-28,"en","TWN",1,"1"
"455",2019-07-28,"en","UGA",4,"1"
"456",2019-07-28,"en","USA",1180,"1"
"457",2019-07-28,"en","YEM",1,"1"
"458",2019-07-28,"en","ZAF",3,"1"
"459",2019-07-28,"en","ZWE",3,"1"
"461",2019-07-28,"fr","FRA",2,"1"
"462",2019-07-28,"fr","JPN",1,"1"
"463",2019-07-28,"fr","TCD",1,"1"
"464",2019-07-28,"fr","USA",2,"1"
"466",2019-08-04,"ar","AFG",1,"1"
"467",2019-08-04,"ar","ARE",2,"1"
"468",2019-08-04,"ar","BEL",2,"1"
"469",2019-08-04,"ar","CHE",2,"1"
"470",2019-08-04,"ar","DZA",3,"1"
"471",2019-08-04,"ar","EGY",18,"1"
"472",2019-08-04,"ar","GBR",10,"1"
"473",2019-08-04,"ar","IRN",3,"1"
"474",2019-08-04,"ar","IRQ",3,"1"
"475",2019-08-04,"ar","KWT",6,"1"
"476",2019-08-04,"ar","LBN",4,"1"
"477",2019-08-04,"ar","LBY",2,"1"
"478",2019-08-04,"ar","MEX",1,"1"
"479",2019-08-04,"ar","OMN",2,"1"
"480",2019-08-04,"ar","PSE",3,"1"
"481",2019-08-04,"ar","SAU",6,"1"
"482",2019-08-04,"ar","SDN",1,"1"
"483",2019-08-04,"ar","SWE",1,"1"
"484",2019-08-04,"ar","SYR",8,"1"
"485",2019-08-04,"ar","TUR",1,"1"
