Week starting,Language,Country code,Tweets
#date+week_start,#meta+lang,#country+code+v_iso2,#indicator+tweets
14/07/2019,ar,ITA,1
14/07/2019,ar,JOR,24
14/07/2019,ar,JPN,1
14/07/2019,ar,KWT,43
14/07/2019,ar,LBN,15
14/07/2019,ar,LBY,26
14/07/2019,ar,MAR,5
14/07/2019,ar,MDV,1
14/07/2019,ar,MYS,2
14/07/2019,ar,NER,1
14/07/2019,ar,NOR,1
14/07/2019,ar,NZL,1
14/07/2019,ar,OMN,86
14/07/2019,ar,PLW,1
14/07/2019,ar,PNG,1
14/07/2019,ar,PRT,1
14/07/2019,ar,PSE,15
14/07/2019,ar,QAT,11
14/07/2019,ar,RUS,4
14/07/2019,ar,SAU,686
14/07/2019,ar,SDN,12
14/07/2019,ar,SVN,1
14/07/2019,ar,SYR,135
14/07/2019,ar,TUN,3
14/07/2019,ar,TUR,6
14/07/2019,ar,UKR,1
14/07/2019,ar,USA,74
14/07/2019,ar,YEM,81
14/07/2019,ar,ZAF,1
14/07/2019,en,,1135
14/07/2019,en,AFG,65
14/07/2019,en,ALB,1
14/07/2019,en,ARE,5
14/07/2019,en,ATA,1
14/07/2019,en,AUT,2
14/07/2019,en,BEL,1
14/07/2019,en,BGD,10
14/07/2019,en,BOL,1
14/07/2019,en,BRA,1
14/07/2019,en,BRN,1
14/07/2019,en,BWA,1
14/07/2019,en,CAN,63
14/07/2019,en,CHE,4
14/07/2019,en,CHL,1
14/07/2019,en,CHN,2
14/07/2019,en,CIV,1
14/07/2019,en,CMR,4
14/07/2019,en,CPV,1
14/07/2019,en,CRI,1
14/07/2019,en,CYP,1
14/07/2019,en,CZE,2
14/07/2019,en,DEU,9
14/07/2019,en,DNK,4
14/07/2019,en,EGY,4
14/07/2019,en,ESP,4
14/07/2019,en,EST,1
14/07/2019,en,ETH,2
14/07/2019,en,FIN,12
14/07/2019,en,FRA,12
14/07/2019,en,GBR,68
14/07/2019,en,GGY,1
14/07/2019,en,GHA,4
14/07/2019,en,GRC,7
14/07/2019,en,HRV,1
14/07/2019,en,HUN,2
14/07/2019,en,IDN,1
14/07/2019,en,IND,23
14/07/2019,en,IRN,2
14/07/2019,en,IRQ,2
14/07/2019,en,ISR,3
14/07/2019,en,ITA,3
14/07/2019,en,JAM,2
14/07/2019,en,JPN,5
14/07/2019,en,KEN,12
14/07/2019,en,KOR,1
14/07/2019,en,LBN,2
14/07/2019,en,LKA,12
14/07/2019,en,LUX,1
14/07/2019,en,MAC,1
14/07/2019,en,MEX,4
14/07/2019,en,MNG,1
14/07/2019,en,MYS,3
14/07/2019,en,NAM,1
14/07/2019,en,NGA,11
14/07/2019,en,NIC,3
14/07/2019,en,NLD,5
14/07/2019,en,NOR,10
14/07/2019,en,NPL,1
14/07/2019,en,NZL,3
14/07/2019,en,OMN,4
14/07/2019,en,PAK,11
14/07/2019,en,PAN,1
14/07/2019,en,PHL,12
14/07/2019,en,PRT,5
14/07/2019,en,PSE,1
14/07/2019,en,QAT,5
14/07/2019,en,ROU,1
14/07/2019,en,RUS,1
14/07/2019,en,SDN,2
14/07/2019,en,SGP,1
14/07/2019,en,SLE,1
14/07/2019,en,SOM,4
14/07/2019,en,SVK,1
14/07/2019,en,SVN,1
14/07/2019,en,SWE,7
14/07/2019,en,SYR,1
14/07/2019,en,TUN,1
14/07/2019,en,TUR,12
14/07/2019,en,TWN,1
14/07/2019,en,UGA,4
14/07/2019,en,UKR,1
14/07/2019,en,USA,3194
14/07/2019,en,ZAF,6
14/07/2019,en,ZMB,3
14/07/2019,en,ZWE,9
14/07/2019,fr,,3
14/07/2019,fr,FIN,1
14/07/2019,fr,FRA,3
14/07/2019,fr,TGO,1
21/07/2019,ar,,2064
21/07/2019,ar,AFG,2
21/07/2019,ar,ARE,39
21/07/2019,ar,AUS,5
21/07/2019,ar,BEL,3
21/07/2019,ar,BGD,1
21/07/2019,ar,BHR,10
21/07/2019,ar,BRA,1
21/07/2019,ar,CAN,6
21/07/2019,ar,CHE,18
21/07/2019,ar,CHN,5
21/07/2019,ar,CIV,1
21/07/2019,ar,DEU,12
21/07/2019,ar,DZA,15
21/07/2019,ar,EGY,220
21/07/2019,ar,ESP,3
21/07/2019,ar,FIN,25
21/07/2019,ar,FRA,10
21/07/2019,ar,GBR,38
21/07/2019,ar,GRC,1
21/07/2019,ar,HUN,1
21/07/2019,ar,IDN,2
21/07/2019,ar,IND,1
21/07/2019,ar,IRN,22
21/07/2019,ar,IRQ,49
21/07/2019,ar,ISR,1
21/07/2019,ar,ITA,3
21/07/2019,ar,JOR,23
21/07/2019,ar,KOR,1
21/07/2019,ar,KWT,73
21/07/2019,ar,LBN,12
21/07/2019,ar,LBY,32
21/07/2019,ar,MAR,11
21/07/2019,ar,MLT,1
21/07/2019,ar,MRT,3
21/07/2019,ar,MTQ,1
21/07/2019,ar,MYS,1
21/07/2019,ar,NLD,1
21/07/2019,ar,OMN,87
21/07/2019,ar,PAK,2
21/07/2019,ar,PER,1
